tiploc,lat,lon
ABTHOSD,51.38526153564453,-3.3968443870544434
ABTHPS,51.3936882019043,-3.39884090423584
ABTHPST,51.39369201660156,-3.398798704147339
ABTHRCP,51.38898849487305,-3.387690305709839
ABTHRFH,51.389564514160156,-3.3888070583343506
ABTHTCR,51.3979606628418,-3.3900787830352783
ABTHWCC,51.39804458618164,-3.389970302581787
ABTS654,52.151973724365234,-2.164271831512451
ABTSWDJ,52.14741897583008,-2.1630823612213135
ABWD,51.490970611572266,0.1197637990117073
ABWDARJ,51.49155044555664,0.13362190127372742
ABWDER,51.491294860839844,0.12478379905223846
ABWDXR,51.491119384765625,0.12001390010118484
ABWDXRS,51.491180419921875,0.12250210344791412
ACBG,53.266075134277344,-2.6023216247558594
ACGJN,53.363975524902344,-2.622443675994873
ACGJNLX,53.329769134521484,-2.653444290161133
ACHANLT,57.609596252441406,-4.913643836975098
ACHHBLC,57.463661193847656,-5.362612724304199
ACHHSHL,57.48210906982422,-5.333022594451904
ACHILCK,55.4698486328125,-4.295659065246582
ACHLDH,58.00468444824219,-4.261404991149902
ACHNGRY,55.77517318725586,-3.6074259281158447
ACHNSCE,57.57978439331055,-5.071602821350098
ACHNSHN,57.579444885253906,-5.072063446044922
ACKLNGT,55.307308197021484,-1.6517467498779297
ACLE,52.634674072265625,1.544030785560608
ACOCKSG,52.4492301940918,-1.8185093402862549
ACRNGTN,53.75273513793945,-2.370405435562134
ACRNGXC,53.7520751953125,-2.3749709129333496
ACTCWHF,51.52933883666992,-0.25448060035705566
ACTNCTL,51.50834274291992,-0.26297250390052795
ACTNLRG,51.533164978027344,-0.2511132061481476
ACTNLRS,51.53314208984375,-0.25115159153938293
ACTOEWS,51.51712417602539,-0.27035048604011536
ACTOGBR,51.515830993652344,-0.2762705087661743
ACTOLHS,51.517024993896484,-0.2702319025993347
ACTONFY,51.517677307128906,-0.26938700675964355
ACTONML,51.5170783996582,-0.2675251066684723
ACTONQU,51.51701354980469,-0.27411949634552
ACTONTC,51.51567077636719,-0.27835139632225037
ACTONW,51.514923095703125,-0.29005658626556396
ACTRNED,57.60276794433594,-4.528626441955566
ACWL105,51.50103759765625,-0.268266886472702
ACWL149,51.524654388427734,-0.25348860025405884
ACWL150,51.52467346191406,-0.2535836100578308
ACWLJN,51.522804260253906,-0.2548423111438751
ADERLYP,52.48308563232422,-1.8552285432815552
ADIEWEL,55.843318939208984,-3.6068389415740967
ADISHAM,51.24142837524414,1.1986225843429565
ADLC,53.319671630859375,-2.1336944103240967
ADLESTJ,51.362003326416016,-0.4729982018470764
ADLESTN,51.37361526489258,-0.4853844940662384
ADNL,53.612918853759766,-2.602633237838745
ADRG438,52.602169036865234,-1.9251984357833862
ADRG439,52.602046966552734,-1.9210902452468872
ADSWDRD,53.38703918457031,-2.1760199069976807
ADWICK,53.571937561035156,-1.1798746585845947
ADWICKJ,53.57999038696289,-1.1986274719238281
AGCRFTJ,53.51845169067383,-2.3088390827178955
AGHTNPH,53.55437469482422,-2.8950998783111572
AIGBURT,53.36443328857422,-2.9264514446258545
AINSDAL,53.60164260864258,-3.042851209640503
AINT206,53.47957229614258,-2.954843521118164
AINTREE,53.47433090209961,-2.956374406814575
AINTSFJ,53.471858978271484,-2.957343339920044
AIRBLES,55.782630920410156,-3.9943342208862305
AIRD754,55.86360168457031,-3.9893007278442383
AIRDCS,55.8640022277832,-3.981065511703491
AIRDRIE,55.864112854003906,-3.981663465499878
AIRP,55.035675048828125,-1.7111318111419678
AISGILL,54.372798919677734,-2.351048231124878
AISHXO,50.422279357910156,-3.846001386642456
ALBION,52.51598358154297,-2.024433135986328
ALBNYPK,51.435386657714844,0.1260147988796234
ALBRGHT,52.638389587402344,-2.2696163654327393
ALDB337,51.55463790893555,0.054607000201940536
ALDBUCS,51.5574836730957,0.06392409652471542
ALDEDGE,53.30402755737305,-2.236560106277466
ALDEDNS,53.300960540771484,-2.238311767578125
ALDEUPS,53.300716400146484,-2.2382278442382812
ALDGEST,51.51456069946289,-0.07371959835290909
ALDMCE,51.40269470214844,-1.129762053489685
ALDMSPS,51.403045654296875,-1.1299710273742676
ALDMSTN,51.40235137939453,-1.1362539529800415
ALDR371,51.24763488769531,-0.7555115818977356
ALDR378,51.243812561035156,-0.7638399004936218
ALDRS15,51.24735641479492,-0.7566660046577454
ALDRS16,51.247169494628906,-0.7571170926094055
ALDRSHT,51.24629211425781,-0.7598558068275452
ALDRSJN,51.259803771972656,-0.7332475185394287
ALDRSJS,51.25845718383789,-0.7237542867660522
ALDTON,50.83635330200195,-0.1817719042301178
ALDW109,53.44889831542969,-1.3342269659042358
ALDW721,53.458946228027344,-1.3212970495224
ALDW738,53.448753356933594,-1.3344963788986206
ALDWGBF,53.45353317260742,-1.3280224800109863
ALDWNWS,53.45354080200195,-1.3278714418411255
ALDWRKJ,53.45792770385742,-1.3227688074111938
ALDWRML,53.460086822509766,-1.3203375339508057
ALDWRS,53.4613151550293,-1.318819284439087
ALERTN,53.35853576660156,-2.8895363807678223
ALERTN4,53.36188888549805,-2.8951406478881836
ALERTNJ,53.357975006103516,-2.8885498046875
ALERTNS,53.357452392578125,-2.8818533420562744
ALEX476,51.60195541381836,-0.12427730113267899
ALEXNDP,51.59794235229492,-0.12036889791488647
ALEXPSS,51.59816360473633,-0.12002889811992645
ALFRETN,53.10085678100586,-1.3697715997695923
ALLENSW,54.52444839477539,-1.3625152111053467
ALLEURL,54.52496337890625,-1.3787615299224854
ALLGARC,51.29233169555664,0.5035473704338074
